Adományi program,Civil Rádiózásért Alapítvány,Budapest,visszatérítendő támogatás,5 000 000 Ft,refundable support,Grant program
Adományi program,Kerékpáros Magyarország Szövetség,Budapest,visszatérítendő támogatás,2 500 000 Ft,refundable support,Grant program
Adományi program,Magosfa Környezeti Nevelési és Ökoturisztikai Alapítvány,Vác,visszatérítendő támogatás,5079600,refundable support,Grant program
Adományi program,Önkéntes Központ Alapítvány,Budapest,visszatérítendő támogatás,6 000 000 Ft,refundable support,Grant program
Adományi program,A Veszprém Megyei Civil Hálózatért Közhasznú Egyesület,Veszprém,visszatérítendő támogatás,1 500 000 Ft,refundable support,Grant program
Adományi program,Artemisszió Alapítvány,,visszatérítendő támogatás,7 000 000,refundable support,Grant program
Adományi program,Esély Közösségi Egyesület,,visszatérítendő támogatás,1 500 000,refundable support,Grant program
